word	nodeType	synsetCount	unit
yellow	ADJ	8	jacobs-ladder-script
vietnamese	ADJ	3	jacobs-ladder-script
lazy	ADJ	2	jacobs-ladder-script
soporific	ADJ	3	jacobs-ladder-script
several	ADJ	3	jacobs-ladder-script
many	ADJ	1	jacobs-ladder-script
right	ADJ	36	jacobs-ladder-script
adolescent	ADJ	5	jacobs-ladder-script
frightened	ADJ	4	jacobs-ladder-script
wrong	ADJ	13	jacobs-ladder-script
terrific	ADJ	3	jacobs-ladder-script
wide	ADJ	11	jacobs-ladder-script
frenzied	ADJ	2	jacobs-ladder-script
tall	ADJ	5	jacobs-ladder-script
sudden	ADJ	1	jacobs-ladder-script
demonic	ADJ	1	jacobs-ladder-script
horrifying	ADJ	2	jacobs-ladder-script
glimmer	ADJ	3	jacobs-ladder-script
More	ADJ	5	jacobs-ladder-script
first	ADJ	16	jacobs-ladder-script
shadowy	ADJ	3	jacobs-ladder-script
agonizing	ADJ	3	jacobs-ladder-script
loud	ADJ	4	jacobs-ladder-script
sudden	ADJ	1	jacobs-ladder-script
long	ADJ	12	jacobs-ladder-script
dark	ADJ	16	jacobs-ladder-script
enormous	ADJ	1	jacobs-ladder-script
brilliant	ADJ	6	jacobs-ladder-script
light	ADJ	47	jacobs-ladder-script
last	ADJ	21	jacobs-ladder-script
confused	ADJ	10	jacobs-ladder-script
certain	ADJ	7	jacobs-ladder-script
empty	ADJ	10	jacobs-ladder-script
hemorrhoid	ADJ	1	jacobs-ladder-script
thick	ADJ	13	jacobs-ladder-script
obvious	ADJ	1	jacobs-ladder-script
mid-	ADJ	0	jacobs-ladder-script
surprising	ADJ	4	jacobs-ladder-script
restless	ADJ	3	jacobs-ladder-script
deserted	ADJ	4	jacobs-ladder-script
dark	ADJ	16	jacobs-ladder-script
next	ADJ	4	jacobs-ladder-script
disgust	ADJ	3	jacobs-ladder-script
open	ADJ	36	jacobs-ladder-script
frightened	ADJ	4	jacobs-ladder-script
simple	ADJ	9	jacobs-ladder-script
asleep	ADJ	5	jacobs-ladder-script
rican	ADJ	0	jacobs-ladder-script
glad	ADJ	5	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
only	ADJ	9	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
old	ADJ	9	jacobs-ladder-script
asleep	ADJ	5	jacobs-ladder-script
only	ADJ	9	jacobs-ladder-script
overhead	ADJ	9	jacobs-ladder-script
old	ADJ	9	jacobs-ladder-script
brief	ADJ	6	jacobs-ladder-script
slight	ADJ	5	jacobs-ladder-script
long	ADJ	12	jacobs-ladder-script
red	ADJ	7	jacobs-ladder-script
fleshy	ADJ	2	jacobs-ladder-script
only	ADJ	9	jacobs-ladder-script
fearful	ADJ	5	jacobs-ladder-script
dark	ADJ	16	jacobs-ladder-script
huge	ADJ	1	jacobs-ladder-script
about	ADJ	8	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
far	ADJ	10	jacobs-ladder-script
impossible	ADJ	4	jacobs-ladder-script
comfortable	ADJ	5	jacobs-ladder-script
stepping	ADJ	10	jacobs-ladder-script
unseen	ADJ	2	jacobs-ladder-script
oily	ADJ	4	jacobs-ladder-script
fucking	ADJ	4	jacobs-ladder-script
postal	ADJ	1	jacobs-ladder-script
light	ADJ	47	jacobs-ladder-script
frightened	ADJ	4	jacobs-ladder-script
sure	ADJ	10	jacobs-ladder-script
phenomenal	ADJ	2	jacobs-ladder-script
brilliant	ADJ	6	jacobs-ladder-script
near	ADJ	9	jacobs-ladder-script
short	ADJ	23	jacobs-ladder-script
few	ADJ	2	jacobs-ladder-script
lone	ADJ	3	jacobs-ladder-script
rear	ADJ	11	jacobs-ladder-script
quiet	ADJ	13	jacobs-ladder-script
afraid	ADJ	4	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
heavy	ADJ	30	jacobs-ladder-script
total	ADJ	7	jacobs-ladder-script
sudden	ADJ	1	jacobs-ladder-script
muffled	ADJ	4	jacobs-ladder-script
alone	ADJ	6	jacobs-ladder-script
sure	ADJ	10	jacobs-ladder-script
low	ADJ	16	jacobs-ladder-script
open	ADJ	36	jacobs-ladder-script
naked	ADJ	5	jacobs-ladder-script
naked	ADJ	5	jacobs-ladder-script
bound	ADJ	27	jacobs-ladder-script
bound	ADJ	27	jacobs-ladder-script
own	ADJ	2	jacobs-ladder-script
human	ADJ	4	jacobs-ladder-script
white	ADJ	25	jacobs-ladder-script
full	ADJ	13	jacobs-ladder-script
open	ADJ	36	jacobs-ladder-script
painful	ADJ	4	jacobs-ladder-script
massive	ADJ	4	jacobs-ladder-script
dark	ADJ	16	jacobs-ladder-script
huge	ADJ	1	jacobs-ladder-script
monolithic	ADJ	2	jacobs-ladder-script
vast	ADJ	1	jacobs-ladder-script
long	ADJ	12	jacobs-ladder-script
impersonal	ADJ	2	jacobs-ladder-script
tiny	ADJ	1	jacobs-ladder-script
unsuccessful	ADJ	2	jacobs-ladder-script
"woman""s"	ADJ	0	jacobs-ladder-script
sleepy	ADJ	1	jacobs-ladder-script
pleasant	ADJ	2	jacobs-ladder-script
happy	ADJ	4	jacobs-ladder-script
sleepy	ADJ	1	jacobs-ladder-script
disheveled	ADJ	2	jacobs-ladder-script
good	ADJ	27	jacobs-ladder-script
obvious	ADJ	1	jacobs-ladder-script
beefy	ADJ	1	jacobs-ladder-script
juicy	ADJ	4	jacobs-ladder-script
sensual	ADJ	2	jacobs-ladder-script
late	ADJ	11	jacobs-ladder-script
double	ADJ	21	jacobs-ladder-script
dense	ADJ	4	jacobs-ladder-script
dark	ADJ	16	jacobs-ladder-script
vietnamese	ADJ	3	jacobs-ladder-script
right	ADJ	36	jacobs-ladder-script
left	ADJ	24	jacobs-ladder-script
impossible	ADJ	4	jacobs-ladder-script
awake	ADJ	3	jacobs-ladder-script
few	ADJ	2	jacobs-ladder-script
disgusted	ADJ	3	jacobs-ladder-script
out	ADJ	17	jacobs-ladder-script
large	ADJ	11	jacobs-ladder-script
little	ADJ	10	jacobs-ladder-script
weird	ADJ	3	jacobs-ladder-script
biblical	ADJ	2	jacobs-ladder-script
real	ADJ	13	jacobs-ladder-script
ninny	ADJ	1	jacobs-ladder-script
good	ADJ	27	jacobs-ladder-script
good	ADJ	27	jacobs-ladder-script
fantastic	ADJ	5	jacobs-ladder-script
real	ADJ	13	jacobs-ladder-script
good	ADJ	27	jacobs-ladder-script
more	ADJ	5	jacobs-ladder-script
wrong	ADJ	13	jacobs-ladder-script
own	ADJ	2	jacobs-ladder-script
unable	ADJ	3	jacobs-ladder-script
small	ADJ	13	jacobs-ladder-script
silent	ADJ	6	jacobs-ladder-script
sorry	ADJ	4	jacobs-ladder-script
cute	ADJ	2	jacobs-ladder-script
little	ADJ	10	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
frozen	ADJ	17	jacobs-ladder-script
happy	ADJ	4	jacobs-ladder-script
unfocused	ADJ	2	jacobs-ladder-script
obscure	ADJ	11	jacobs-ladder-script
much	ADJ	7	jacobs-ladder-script
amazing	ADJ	4	jacobs-ladder-script
whole	ADJ	8	jacobs-ladder-script
final	ADJ	5	jacobs-ladder-script
several	ADJ	3	jacobs-ladder-script
cool	ADJ	11	jacobs-ladder-script
tiny	ADJ	1	jacobs-ladder-script
gettin	ADJ	0	jacobs-ladder-script
postal	ADJ	1	jacobs-ladder-script
surprised	ADJ	4	jacobs-ladder-script
crowded	ADJ	5	jacobs-ladder-script
46th	ADJ	1	jacobs-ladder-script
back	ADJ	28	jacobs-ladder-script
heavy	ADJ	30	jacobs-ladder-script
heavyset	ADJ	1	jacobs-ladder-script
dark	ADJ	16	jacobs-ladder-script
cluttered	ADJ	2	jacobs-ladder-script
back	ADJ	28	jacobs-ladder-script
heavy	ADJ	30	jacobs-ladder-script
chinese	ADJ	4	jacobs-ladder-script
nice	ADJ	6	jacobs-ladder-script
wrong	ADJ	13	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
good	ADJ	27	jacobs-ladder-script
lucky	ADJ	3	jacobs-ladder-script
agitated	ADJ	8	jacobs-ladder-script
curious	ADJ	3	jacobs-ladder-script
terrifying	ADJ	2	jacobs-ladder-script
frightening	ADJ	4	jacobs-ladder-script
old	ADJ	9	jacobs-ladder-script
strange	ADJ	3	jacobs-ladder-script
cold	ADJ	16	jacobs-ladder-script
alive	ADJ	7	jacobs-ladder-script
strange	ADJ	3	jacobs-ladder-script
motionless	ADJ	1	jacobs-ladder-script
old	ADJ	9	jacobs-ladder-script
frightened	ADJ	4	jacobs-ladder-script
rear	ADJ	11	jacobs-ladder-script
huge	ADJ	1	jacobs-ladder-script
34th	ADJ	1	jacobs-ladder-script
distracted	ADJ	3	jacobs-ladder-script
vast	ADJ	1	jacobs-ladder-script
left	ADJ	24	jacobs-ladder-script
several	ADJ	3	jacobs-ladder-script
french	ADJ	5	jacobs-ladder-script
wrong	ADJ	13	jacobs-ladder-script
glad	ADJ	5	jacobs-ladder-script
long	ADJ	12	jacobs-ladder-script
tense	ADJ	8	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
right	ADJ	36	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
right	ADJ	36	jacobs-ladder-script
whole	ADJ	8	jacobs-ladder-script
absent	ADJ	4	jacobs-ladder-script
much	ADJ	7	jacobs-ladder-script
rapid	ADJ	3	jacobs-ladder-script
good	ADJ	27	jacobs-ladder-script
new	ADJ	12	jacobs-ladder-script
orthodontist	ADJ	1	jacobs-ladder-script
much	ADJ	7	jacobs-ladder-script
kind	ADJ	4	jacobs-ladder-script
same	ADJ	6	jacobs-ladder-script
small	ADJ	13	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
strong	ADJ	10	jacobs-ladder-script
loud	ADJ	4	jacobs-ladder-script
alive	ADJ	7	jacobs-ladder-script
visible	ADJ	3	jacobs-ladder-script
deep	ADJ	21	jacobs-ladder-script
weird	ADJ	3	jacobs-ladder-script
overgrown	ADJ	5	jacobs-ladder-script
more	ADJ	5	jacobs-ladder-script
okay	ADJ	4	jacobs-ladder-script
good	ADJ	27	jacobs-ladder-script
gray	ADJ	15	jacobs-ladder-script
gray	ADJ	15	jacobs-ladder-script
garish	ADJ	1	jacobs-ladder-script
inexpensive	ADJ	1	jacobs-ladder-script
tawdry	ADJ	2	jacobs-ladder-script
pathetic	ADJ	3	jacobs-ladder-script
few	ADJ	2	jacobs-ladder-script
blasphemous	ADJ	2	jacobs-ladder-script
local	ADJ	5	jacobs-ladder-script
sweet	ADJ	16	jacobs-ladder-script
green	ADJ	14	jacobs-ladder-script
black	ADJ	22	jacobs-ladder-script
full	ADJ	13	jacobs-ladder-script
young	ADJ	14	jacobs-ladder-script
few	ADJ	2	jacobs-ladder-script
young	ADJ	14	jacobs-ladder-script
young	ADJ	14	jacobs-ladder-script
young	ADJ	14	jacobs-ladder-script
huge	ADJ	1	jacobs-ladder-script
back	ADJ	28	jacobs-ladder-script
human	ADJ	4	jacobs-ladder-script
young	ADJ	14	jacobs-ladder-script
sensual	ADJ	2	jacobs-ladder-script
quiet	ADJ	13	jacobs-ladder-script
reflective	ADJ	3	jacobs-ladder-script
such	ADJ	2	jacobs-ladder-script
erotic	ADJ	2	jacobs-ladder-script
nude	ADJ	5	jacobs-ladder-script
left	ADJ	24	jacobs-ladder-script
right	ADJ	36	jacobs-ladder-script
last	ADJ	21	jacobs-ladder-script
annoyed	ADJ	3	jacobs-ladder-script
barricaded	ADJ	4	jacobs-ladder-script
closed	ADJ	26	jacobs-ladder-script
low	ADJ	16	jacobs-ladder-script
human	ADJ	4	jacobs-ladder-script
naked	ADJ	5	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
naked	ADJ	5	jacobs-ladder-script
disinterested	ADJ	1	jacobs-ladder-script
furious	ADJ	3	jacobs-ladder-script
least	ADJ	3	jacobs-ladder-script
least	ADJ	3	jacobs-ladder-script
fucking	ADJ	4	jacobs-ladder-script
right	ADJ	36	jacobs-ladder-script
early	ADJ	9	jacobs-ladder-script
tiny	ADJ	1	jacobs-ladder-script
vasuum	ADJ	0	jacobs-ladder-script
puffy	ADJ	3	jacobs-ladder-script
few	ADJ	2	jacobs-ladder-script
minf	ADJ	0	jacobs-ladder-script
main	ADJ	5	jacobs-ladder-script
reception	ADJ	5	jacobs-ladder-script
new	ADJ	12	jacobs-ladder-script
long	ADJ	12	jacobs-ladder-script
out-	ADJ	0	jacobs-ladder-script
happy	ADJ	4	jacobs-ladder-script
several	ADJ	3	jacobs-ladder-script
sorry	ADJ	4	jacobs-ladder-script
ridiculous	ADJ	3	jacobs-ladder-script
fucking	ADJ	4	jacobs-ladder-script
psychiatric	ADJ	1	jacobs-ladder-script
social	ADJ	7	jacobs-ladder-script
glad	ADJ	5	jacobs-ladder-script
social	ADJ	7	jacobs-ladder-script
tiny	ADJ	1	jacobs-ladder-script
african	ADJ	2	jacobs-ladder-script
like	ADJ	11	jacobs-ladder-script
demonic	ADJ	1	jacobs-ladder-script
angry	ADJ	3	jacobs-ladder-script
interior	ADJ	8	jacobs-ladder-script
mental	ADJ	5	jacobs-ladder-script
specific	ADJ	6	jacobs-ladder-script
surprised	ADJ	4	jacobs-ladder-script
sorry	ADJ	4	jacobs-ladder-script
stunned	ADJ	6	jacobs-ladder-script
last	ADJ	21	jacobs-ladder-script
okay	ADJ	4	jacobs-ladder-script
okay	ADJ	4	jacobs-ladder-script
frightened	ADJ	4	jacobs-ladder-script
confused	ADJ	10	jacobs-ladder-script
alright	ADJ	4	jacobs-ladder-script
okay	ADJ	4	jacobs-ladder-script
crowded	ADJ	5	jacobs-ladder-script
small	ADJ	13	jacobs-ladder-script
bad	ADJ	17	jacobs-ladder-script
same	ADJ	6	jacobs-ladder-script
fixated	ADJ	4	jacobs-ladder-script
strange	ADJ	3	jacobs-ladder-script
loud	ADJ	4	jacobs-ladder-script
insistent	ADJ	2	jacobs-ladder-script
several	ADJ	3	jacobs-ladder-script
attractive	ADJ	3	jacobs-ladder-script
black	ADJ	22	jacobs-ladder-script
close	ADJ	37	jacobs-ladder-script
playful	ADJ	1	jacobs-ladder-script
serious	ADJ	6	jacobs-ladder-script
other	ADJ	4	jacobs-ladder-script
unusual	ADJ	3	jacobs-ladder-script
married	ADJ	5	jacobs-ladder-script
married	ADJ	5	jacobs-ladder-script
strange	ADJ	3	jacobs-ladder-script
short	ADJ	23	jacobs-ladder-script
short	ADJ	23	jacobs-ladder-script
terrific	ADJ	3	jacobs-ladder-script
funny	ADJ	5	jacobs-ladder-script
dead	ADJ	21	jacobs-ladder-script
loose	ADJ	18	jacobs-ladder-script
loose	ADJ	18	jacobs-ladder-script
strong	ADJ	10	jacobs-ladder-script
insistent	ADJ	2	jacobs-ladder-script
smokey	ADJ	0	jacobs-ladder-script
strange	ADJ	3	jacobs-ladder-script
distorted	ADJ	7	jacobs-ladder-script
obvious	ADJ	1	jacobs-ladder-script
embarrassed	ADJ	4	jacobs-ladder-script
unconvincing	ADJ	2	jacobs-ladder-script
strange	ADJ	3	jacobs-ladder-script
distant	ADJ	5	jacobs-ladder-script
uncomfortable	ADJ	2	jacobs-ladder-script
shocked	ADJ	8	jacobs-ladder-script
several	ADJ	3	jacobs-ladder-script
pregnant	ADJ	3	jacobs-ladder-script
naked	ADJ	5	jacobs-ladder-script
next	ADJ	4	jacobs-ladder-script
terrifying	ADJ	2	jacobs-ladder-script
such	ADJ	2	jacobs-ladder-script
enormous	ADJ	1	jacobs-ladder-script
tortured	ADJ	3	jacobs-ladder-script
such	ADJ	2	jacobs-ladder-script
unearthly	ADJ	2	jacobs-ladder-script
smooth	ADJ	12	jacobs-ladder-script
sexy	ADJ	2	jacobs-ladder-script
loose	ADJ	18	jacobs-ladder-script
fitting	ADJ	15	jacobs-ladder-script
strange	ADJ	3	jacobs-ladder-script
surprised	ADJ	4	jacobs-ladder-script
wild	ADJ	17	jacobs-ladder-script
huge	ADJ	1	jacobs-ladder-script
satisfied	ADJ	5	jacobs-ladder-script
obvious	ADJ	1	jacobs-ladder-script
own	ADJ	2	jacobs-ladder-script
confused	ADJ	10	jacobs-ladder-script
erotic	ADJ	2	jacobs-ladder-script
bizarre	ADJ	1	jacobs-ladder-script
horrible	ADJ	1	jacobs-ladder-script
primal	ADJ	2	jacobs-ladder-script
spiked	ADJ	7	jacobs-ladder-script
excited	ADJ	12	jacobs-ladder-script
perverse	ADJ	3	jacobs-ladder-script
corrupt	ADJ	8	jacobs-ladder-script
normal	ADJ	5	jacobs-ladder-script
spastic	ADJ	4	jacobs-ladder-script
delirious	ADJ	2	jacobs-ladder-script
desperate	ADJ	7	jacobs-ladder-script
dark	ADJ	16	jacobs-ladder-script
strange	ADJ	3	jacobs-ladder-script
bright	ADJ	11	jacobs-ladder-script
total	ADJ	7	jacobs-ladder-script
sparkling	ADJ	7	jacobs-ladder-script
exhilarating	ADJ	3	jacobs-ladder-script
dazzling	ADJ	4	jacobs-ladder-script
sensual	ADJ	2	jacobs-ladder-script
spectacular	ADJ	4	jacobs-ladder-script
compelling	ADJ	4	jacobs-ladder-script
hard	ADJ	22	jacobs-ladder-script
insistent	ADJ	2	jacobs-ladder-script
heavy	ADJ	30	jacobs-ladder-script
stroboscopic	ADJ	0	jacobs-ladder-script
intense	ADJ	3	jacobs-ladder-script
red	ADJ	7	jacobs-ladder-script
blue	ADJ	16	jacobs-ladder-script
fuckin	ADJ	0	jacobs-ladder-script
little	ADJ	10	jacobs-ladder-script
frightened	ADJ	4	jacobs-ladder-script
okay	ADJ	4	jacobs-ladder-script
early	ADJ	9	jacobs-ladder-script
confused	ADJ	10	jacobs-ladder-script
annoyed	ADJ	3	jacobs-ladder-script
uncomfortable	ADJ	2	jacobs-ladder-script
dense	ADJ	4	jacobs-ladder-script
entire	ADJ	5	jacobs-ladder-script
convulsive	ADJ	2	jacobs-ladder-script
right	ADJ	36	jacobs-ladder-script
hot	ADJ	21	jacobs-ladder-script
